cindustry,cname,cid
Luxury Goods & Jewelry,Vertu,17357
Renewables & Environment,Spire Corporation,13041
"Glass, Ceramics & Concrete",Vidros São Paulo,5345282
Packaging & Containers,Menasha Packaging,59862
Industrial Automation,Gerber Technology,10040
Computer Software,"Lexmark International, Inc.",2980
Internet,Tencent,166328
Semiconductors,Intersil Corporation,164431
Telecommunications,ZTE,5804
Management Consulting,"Performance Readiness Solutions, A Group within GP Strategies",5817
Biotechnology,Ambit Biosciences,35631
Hospital & Health Care,Henry Ford Health System,8936
Pharmaceuticals,Endo Pharmaceuticals,11485
Cosmetics,Godrej Argentina,2177442
Apparel & Fashion,ECCO Shoes,7547
Sporting Goods,Li-Ning (China) Sports Goods Co. Ltd,586998
Supermarkets,Freshmed,5251377
Consumer Electronics,Crutchfield Corporation,18757
Consumer Goods,Cadbury plc.,312268
Furniture,Easy Way Products,1534673
Retail,Dixons Retail,4570
Entertainment,Bunim Murray Productions,162830
Gambling & Casinos,Cherokee Nation Entertainment,22245
Food & Beverages,Grolsch,18631
Museums & Institutions,Museum für Naturkunde Berlin,1264520
Banking,Huntington National Bank,164245
Insurance,Stewart Title,5647
Financial Services,Allianz Group,2979
Real Estate,National Association of REALTORS®,13607
Investment Banking/Venture,Banif Investment Banking,15610
Investment Management,Acadian Asset Management,19532
Building Materials,Simpson Strong-Tie,25017
Architecture & Planning,WATG and Wimberly Interiors,21427
Aviation & Aerospace,"Insitu, Inc.",56974
Automotive,PACCAR,165374
Chemicals,Cytec,163316
Machinery,Gardner Denver,16545
Mining & Metals,Weir Minerals,78340
Oil & Energy,Eni,3591
Shipbuilding,VETRI PER SUPERYACHTS,5272316
Utilities,Calpine,6392
Textiles,DRAGO Lanificio in Biella,5349045
Paper & Forest Products,Tension Envelope,65565
Railroad Manufacture,Stella-Jones Corp. Crossties & Switch ties,5161676
Farming,Mechnetics,5342094
Primary/Secondary,St. Theresa School,2115554
Higher Education,Purdue University,3846
Education Management,Duke Corporate Education,20660
Research,Baylor College of Medicine,162655
